anho;mes;idprovincia;provincia;e;evap;glo;hr;inso;n_cub;n_des;n_fog;n_gra;n_llu;n_nie;n_nub;np_001;np_010;np_100;np_300;nt_00;nt_30;n_tor;nv_0050;nv_0100;nv_1000;nw_55;nw_91;p_max;p_mes;p_sol;q_mar;q_max;q_med;q_min;ta_max;ta_min;ti_max;tm_max;tm_mes;tm_min;ts_10;ts_20;ts_50;ts_min;w_med;w_rec
2001;10;1;ARABA/ALAVA;125;1048;35464;72;6.1;9;3;6;0;12;0;19;8;6;2;0;0;0;0;0;0;4;3;0;16.5;44.3;55;1017.7;973.4;958.7;942.2;27.6;1.7;16.3;21.2;15;8.9;-9999;-9999;-9999;16.6;9;201
2001;11;1;ARABA/ALAVA;81;292;15612;82;3;15;1;5;2;14;3;14;17;10;3;1;10;0;2;0;0;3;1;0;35.1;120.2;30;1025.5;973.9;964.1;954.1;18.9;-1.6;4;10.1;6.1;2.1;-9999;-9999;-9999;7.4;6;157
2001;12;1;ARABA/ALAVA;64;-9999;18468;84;4.1;7;4;8;0;6;4;20;8;2;0;0;24;0;0;0;0;4;0;0;9.9;14.4;45;1024.9;971;962.6;953;13.6;-11.5;-0.1;7.4;2.1;-3.2;-9999;-9999;-9999;5.2;5;101
2002;1;1;ARABA/ALAVA;80;452;19616;79;3.6;12;0;9;0;14;0;19;12;7;2;0;10;0;0;0;0;2;2;0;10.9;35.4;38;1026.8;973;965.4;946.1;16.4;-3;6;10.8;6.4;1.9;6.3;5.9;6.2;6.8;9;179
2002;2;1;ARABA/ALAVA;81;512;20726;76;3.8;16;3;2;1;16;0;9;13;9;2;0;3;0;1;0;0;2;2;0;14.9;55.8;36;1023.8;975.5;962.9;949.8;17.9;-1.5;4.5;12.2;7.7;3.2;7.9;7.4;7.6;8.2;9;197
2002;3;1;ARABA/ALAVA;83;936;38428;68;4.9;12;1;5;0;13;0;18;12;4;0;0;5;0;1;0;0;4;5;0;4.8;13.7;41;1017.5;970.6;957.3;942.1;24;-2.4;7.3;15.2;9.4;3.4;10.9;10;9.7;10.5;11;207
2002;4;1;ARABA/ALAVA;86;912;49556;69;6.2;9;1;3;0;16;0;20;13;5;0;0;3;0;1;0;0;2;0;0;9.6;39.9;46;1015.1;972.5;955.2;935.8;25.4;-2;5.9;16.2;9.7;3.1;13.7;12.5;12.1;7.6;9;177
2002;5;1;ARABA/ALAVA;111;820;49789;72;6.1;13;0;3;0;19;0;18;15;13;2;0;0;1;5;0;0;1;1;0;19.9;87.2;41;1015.7;966.3;956.4;942.3;30;0.6;10.2;18.4;12.3;6.2;16.3;15.2;14.5;11;10;189
2002;6;1;ARABA/ALAVA;146;872;52317;72;6.3;12;1;2;0;15;0;17;13;7;2;0;0;6;7;0;0;1;0;0;19.7;53.1;41;1017.6;967.4;959.2;944.7;34.4;3.5;13.9;23.2;16.8;10.5;-9999;-9999;-9999;15.5;7;164
2002;7;1;ARABA/ALAVA;151;918;59960;72;7.2;8;0;4;0;14;0;23;9;3;1;0;0;4;4;0;0;2;0;0;10.5;14.1;48;1018.2;967.3;959.8;953.4;34.8;4.6;18.8;24.2;17.3;10.2;22.3;20.8;19.8;17;9;183
2002;8;1;ARABA/ALAVA;154;931;48284;75;5.5;12;0;2;0;16;0;19;12;9;2;0;0;4;5;0;0;1;0;0;28.5;68.9;40;1016.9;966.2;958.6;951.7;34.3;5.9;16.9;23.1;17.7;12.2;-9999;-9999;-9999;17.4;7;165
2002;9;1;ARABA/ALAVA;140;690;47526;74;6.8;6;3;12;0;11;0;21;9;4;0;0;0;0;1;0;0;6;0;0;9.5;16.9;55;1016.1;966.2;957.5;948.5;28.2;0.2;15;23;15.8;8.6;-9999;-9999;-9999;15.4;7;124
2002;10;1;ARABA/ALAVA;125;577;26979;78;4.3;13;0;7;0;14;0;18;11;9;2;0;0;0;1;0;1;2;3;0;16.1;65.1;39;1016;972.6;956.8;941.3;22.6;0.4;12.4;18.7;13.4;8.1;14.9;14.7;15.1;14.6;8;169
2002;11;1;ARABA/ALAVA;99;514;18456;80;3.6;11;0;7;0;25;0;19;22;14;4;0;1;0;0;0;0;1;5;1;17.7;95.1;37;1013.5;968.9;953.6;929.1;19.8;0;9.4;13.6;9.6;5.6;10.4;10.5;11.2;9.6;10;199
2002;12;1;ARABA/ALAVA;93;524;12691;83;2.4;14;0;4;2;20;0;17;22;10;6;1;2;0;2;0;0;0;7;0;31.6;137.1;26;1016.9;966.6;956.5;936.6;16.6;-1.7;6.4;11.2;8.2;5.2;-9999;-9999;-9999;12.9;10;235
2003;1;1;ARABA/ALAVA;79;337;14468;85;2.4;17;2;4;2;19;5;12;21;13;4;1;13;0;1;0;0;1;6;0;40.5;138.8;25;1021.6;977.3;960.2;939.3;15.5;-5;0.8;8.3;5.2;1.9;5.6;5.8;6.6;10.6;10;226
2003;2;1;ARABA/ALAVA;72;378;17048;80;2.4;17;0;2;0;17;5;11;17;11;3;1;11;0;0;0;0;2;4;0;43.2;99.1;23;1019.9;967.4;958.5;944.2;14.1;-6.2;1.5;8.5;4.9;1.3;5.5;5.2;5.7;8.2;10;218
2003;3;1;ARABA/ALAVA;91;-9999;42074;69;6;9;4;3;0;9;0;18;7;6;0;0;5;0;1;0;0;1;2;0;9.9;27.7;50;1020.5;968.2;960.4;949.3;22;-3.3;11;16.9;10.5;4;11.5;10.6;10.3;9.5;9;178
2003;4;1;ARABA/ALAVA;98;1341;49522;69;6.2;11;2;1;0;16;0;17;14;10;0;0;1;0;2;0;0;1;4;0;7;34.3;46;1014.1;965.1;954.7;943.3;26.8;-1.7;8.4;17;11;5;13.2;12.5;12.1;10.6;11;232
2003;5;1;ARABA/ALAVA;119;1311;65289;70;8.3;7;0;5;1;12;0;24;10;6;2;1;0;3;2;0;0;3;0;0;43.4;69.3;57;1019.3;971.7;960.1;952.5;31.5;0.6;9.6;20.6;13.4;6.2;18;16.7;15.9;14;9;171
2003;6;1;ARABA/ALAVA;170;1728;61189;68;7.4;10;2;6;0;16;0;18;12;8;0;0;0;12;6;0;0;0;1;0;9.9;33.9;48;1014.8;967.4;957.3;946.5;37;9.6;18.1;27.5;20.6;13.6;23.8;22.5;21.2;16.5;9;182
2003;7;1;ARABA/ALAVA;163;1693;69723;66;8.7;4;5;1;0;6;0;22;5;3;0;0;0;9;2;0;0;0;1;0;5;11.1;58;1016.9;967.7;959.1;946.7;35.5;7.6;19.4;26.7;20;13.3;22.5;22;21.8;17.6;9;194
2003;8;1;ARABA/ALAVA;178;2226;63634;63;8.4;3;2;2;0;9;0;26;5;5;1;0;0;17;5;0;0;1;1;0;10.4;24.8;60;1015.6;963.8;958.5;946.6;38;8.8;20.8;30.9;23.2;15.5;24.1;23.5;23.5;23.2;8;157
2003;9;1;ARABA/ALAVA;144;1261;42770;72;5.7;10;7;2;0;16;0;13;11;7;1;0;0;0;1;0;0;1;2;0;10.9;31.5;46;1019.3;969.7;960.8;942.1;29.7;5.8;17.5;23.3;17.4;11.3;19.9;19.4;19.7;16.5;8;148
2003;10;1;ARABA/ALAVA;119;684;22436;82;3.4;19;0;8;0;25;0;12;23;17;0;0;2;0;2;0;0;4;4;0;9.4;83.2;31;1013.3;966.7;953.9;924.1;23.8;-0.9;8.4;16.3;12;7.6;14.2;14.4;15.3;13.5;7;158
