"anho","mes","idprovincia","nombre","numero_de_incendios","superficie_total_quemada","sup_total_arbolada","sup_total_desarbolada","naturales_casos","naturales_total_arbolada","naturales_total_noarboalda","antropicos_casos","sup_antropicos_total_arbolada","sup_antropicos_total_noarbolada","e","evap","glo","hr","inso","n_cub","n_des","n_fog","n_gra","n_llu","n_nie","n_nub","np_001","np_010","np_100","np_300","nt_00","nt_30","n_tor","nv_0050","nv_0100","nv_1000","nw_55","nw_91","p_max","p_mes","p_sol","q_mar","q_max","q_med","q_min","ta_max","ta_min","ti_max","tm_max","tm_mes","tm_min","ts_10","ts_20","ts_50","ts_min","w_med","w_rec","tasa_de_paro"
2000,1,17,"GIRONA",11,7.98,7.71,0.27,0,0,0,11,7.71,0.27,52.5,466,-9999,65,5.7,4,13,4,0,6,0,14,2,2,0.5,0,24.5,0,0,0,0,0,1.5,0,7.35,11.85,59,1024.65,930,920.45,909.8,16.55,-7.2,0.9,8.55,3.2,-2.2,5.3,5.3,6.7,4.7,6,136,NA
2000,1,18,"GRANADA",2,2,0,2,0,0,0,2,0,2,64,380,-9999,70.5,7,1.5,15.5,2.5,0,3.5,0,14,3.67,1.67,0,0,23.67,0,0,0,0,0.5,0,0,5.77,8.13,70,1025.2,960,949.55,935.9,19.03,-5.47,7.23,12.5,5.47,-1.6,7.1,6.5,7.8,3.73,4.67,123.67,NA
2000,1,19,"GUADALAJARA",0,0,0,0,0,0,0,0,0,0,49.5,0,-9999,74.5,6,4,15,3.5,0,2,1.5,12,3,3,0,0,30,0,0,0.5,0,3.5,0,0,4.85,11,62,1026.05,933.25,924.3,908.25,17.9,-9.7,1.2,8.55,1.35,-5.85,-9999,-9999,-9999,0.5,2,21,NA
2000,1,20,"GUIPUZCOA",4,22.8,1.7,21.1,0,0,0,4,1.7,21.1,77,570,-9999,76,3.5,13,2.5,3.5,0,7,0,15.5,7.25,4,0.5,0.25,4.5,0,0,0,0,1,4,0.25,15.5,22.88,37,1026.95,1020.9,1010.55,994,16.98,-3.15,4.23,10.15,6.78,3.38,5.7,5.5,6.3,8.1,8,202,NA
2000,1,21,"HUELVA",0,0,0,0,0,0,0,0,0,0,91,451,29571,73,6.6,2,15,0,0,6,0,14,6,5.5,0.5,0,1.5,0,0,0,0,0,0,0,10.7,28.95,67,1024,1031.4,1021.6,1007,18.2,-0.2,10.3,15.15,9.35,3.45,11.7,12,12,7.3,7,175.5,NA
2000,1,22,"HUESCA",2,0.8,0,0.8,0,0,0,2,0,0.8,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,26,0,-9999,-9999,-9999,-9999,4,1,0,0,-9999,-9999,-9999,-9999,-9999,20.2,-6.6,3.6,8.5,3.2,-2.1,-9999,-9999,-9999,3.3,3,85,NA
2000,1,23,"JAEN",0,0,0,0,0,0,0,0,0,0,68,836,-9999,66,-9999,0,23,0,0,2.5,0,8,2.5,1,0,0,0,0,0,0,0,0,0,0,5.05,5.25,-9999,1025.7,967,956.4,942.2,17.2,0.6,8.4,11.5,7.6,3.7,-9999,-9999,-9999,8.4,5,135,NA
2000,1,24,"LEON",14,166.7,10,156.7,0,0,0,14,10,156.7,51,79,26277,76.25,6.2,7,14,5,0,2.5,2.5,10,4.5,3,0.5,0,27.75,0,0,0.5,0.5,4,0,0,10.03,18.68,65,1027.95,919.6,909.3,890.28,12.35,-7.95,0.03,6.08,1.23,-3.6,1.7,2.3,3.9,0.98,5.75,138,NA
2000,1,25,"LLEIDA",8,277.6,20.8,256.8,0,0,0,8,20.8,256.8,54,121,20354,76,3.9,8,4,20,0,3,0,19,2.67,0,0,0,26.33,0,0,2,4,11,0,0,0.23,0.6,40,1026.15,981.5,971.8,960.15,17.97,-8.13,2,8.7,2.37,-4,4.2,5.1,5.8,1.53,3,88.5,NA
2000,1,26,"LA RIOJA",8,40.25,4,36.25,0,0,0,8,4,36.25,64,598,20932,77,4.7,10,9,6,0,6,0,12,4,1,1,0,19,0,0,0,0,3,1,0,10.7,12.7,49,1028,994.7,983.3,967.9,16.8,-5.4,2,8.5,4.1,-0.3,-9999,-9999,-9999,3.4,10,277,NA
